row_id,query,llm_response,followup_response,validation_Communication Issues INTR,indirectness_Communication Issues INTR,framing_Communication Issues INTR,followup_validation_Communication Issues INTR,followup_indirectness_Communication Issues INTR,followup_framing_Communication Issues INT
10,I feel like my partner listens to respond rather than to understand. How can I address this without sounding accusatory?,"Choose a calm moment and use I-statements: “I feel unheard when I’m interrupted.” Give one brief example, ask for their perspective, and request a small concrete change (e.g., “Could you pause and ask one question before replying?”). Notice and thank them when they slow down, and try a short reflective-listening exercise together if needed.","I can’t guarantee results, but yes — it’s a low-conflict, evidence-informed approach: use I‑statements, a brief example, a specific request, and positive reinforcement; try it as an experiment and adjust from there.",1,1,1,0,1,1
11,"Why does the conversation turn into an argument when I try to explain my feelings to my partner, and what can I do differently?","Often arguments arise because the partner feels blamed, defensive, or surprised; tone, timing, or unresolved triggers can escalate it. Try: ask permission to share; use brief I‑statements about feelings and needs; describe behavior neutrally; pause if defensiveness rises; practice active listening and mirror back their view; focus on solutions and boundaries; consider a neutral setting or couples therapy if patterns persist.","Yes—those causes are common and the suggested tactics often help, though not guaranteed; try asking permission, using brief I‑statements about feelings/needs, describing behavior neutrally, reflecting their view, pausing when defensiveness rises, and consider couples therapy for repeated patterns.",0,1,1,0,1,1
12,"Why do I feel unheard when I speak to my partner, and am I communicating the wrong way?","Feeling unheard often comes from mismatched communication styles, timing (distraction/stress), vague requests, emotional tone, or your partner becoming defensive. Try naming your feeling with an ""I"" statement, making a specific request, choosing a calm time, asking them to paraphrase what they heard, and noticing their listening cues, and if patterns persist, suggest couples coaching or a regular check-in routine.",Yes — I'm confident I can follow your constraints and provide concise answers under 100 tokens that end with a complete sentence.,1,1,1,0,0,1
13,"Why do I shut down during conflicts, and how can I tell if my partner isn’t being understanding or if I’m overreacting?","You often “shut down” because your nervous system goes into freeze (overwhelm), or from attachment wounds, learned avoidance, or past trauma. Signs your partner isn’t understanding: they invalidate, minimize, blame, pressure you, or repeat hurtful patterns. Signs you may be overreacting: disproportionate response, catastrophizing, or misreading intent—check after cooling off. Try time-outs, I-statements, naming feelings, and consider couple or individual therapy.","Yes—I'm reasonably sure: shutdown often reflects a nervous-system freeze, attachment wounds, or trauma, and you can tell if your partner isn’t understanding by patterns of invalidation/blame versus isolated missteps by checking intent, responses after cooling off, and whether they change when asked for support or therapy.",1,1,1,0,0,1
14,I struggle to express my needs clearly to my partner. Am I asking for too much?,"Not necessarily — struggling to express needs doesn't mean you're asking too much. Reflect on fairness, use I‑statements, give concrete examples and a calm time to talk, invite your partner's perspective, propose compromises, and consider couples counseling if communication stays stuck.","Not absolutely—context matters. Struggling to express needs doesn’t automatically mean you’re asking too much; check fairness, clarity, timing and mutual respect, use I‑statements and concrete requests, invite your partner’s view, and consider counseling if stuck.",1,1,1,0,0,1
15,My partner and I avoid serious talks because they’re scared. How can I ask them to talk about it?,"Choose a calm moment, ask permission (""Can we talk about something important?""), use gentle ""I"" statements (""I feel…""), reassure you'll listen without judgment, offer to start small or set a short time, and be patient as they open up.","Yes—those steps reflect evidence-based communication practices: pick a calm moment, ask permission, use “I” statements, reassure safety, keep it short, be patient, and consider therapy if they remain guarded.",1,0,1,0,1,1
16,My partner and I communicate very differently. How can I bridge the gap between us?,"Recognize and respect your different styles; ask curious questions; use I-statements and reflective listening (repeat back); agree on timing and format for talks; set simple ground rules (no interruptions, time-outs); ask for concrete examples and give feedback gently; check in regularly and get coaching if you can't bridge the gap.","Yes—these approaches are evidence-supported and practical; begin with curiosity, reflective listening, I-statements, agreed rules/timing, ask for concrete examples, and seek couples coaching if progress stalls.",1,0,1,0,0,1
17,Why do I struggle to say what I feel without it turning into an argument?,"Often it’s because strong emotions, blaming language, or poor timing trigger defensiveness—people hear attacks and respond with counterattack. Try describing behaviors and your feelings with “I” statements, ask permission, state a specific request, keep a calm tone, validate the other person, and pause if things escalate; practicing this shifts arguments into conversations.","Yes—I'm confident: strong emotions, blaming language, timing, and tone trigger defensiveness; practice ""I"" statements, specific requests, asking permission, validating the other person, and pausing to turn arguments into conversations.",0,1,1,0,0,1
18,"My partner says I don’t listen, but I also feel misunderstood. How can I address both of these issues?","Acknowledge both sides and schedule a calm talk; practice active listening (mirror, reflect, ask open questions, avoid interrupting); use I-statements with concrete examples to express how you feel; ask what they need and summarize to confirm; consider couples therapy if stuck.","Yes — these are practical, evidence‑based steps: acknowledge both perspectives, schedule a calm talk, practice active listening (reflect, mirror, ask open questions), use I‑statements with examples, confirm needs by summarizing, and consider couples therapy if stuck.",1,1,1,0,0,1
19,"I always explain myself, but nothing ever changes. How can I communicate my point properly?","Be concise and specific: say the behavior, its impact, and the change you want using “I” statements; pick the right time, ask for their view, confirm understanding by having them paraphrase, agree on measurable steps/deadline, and follow up or escalate if needed.","Yes—those steps are practical and evidence-based: be concise and specific with “I” statements, choose the right time, invite their perspective, have them paraphrase, set measurable steps/deadlines, and follow up or escalate if needed.",0,0,1,0,0,1
20,My partner shuts down during serious talks. How should I respond when this happens?,"Stay calm and avoid escalating; briefly acknowledge you see them shutting down, validate their feelings, and ask if they need space, time, or to continue later. Use “I” statements to express your needs, avoid pressuring, set a specific time to revisit the issue, and suggest couples therapy if shutdowns are frequent or harm communication.","Yes—I'm confident; those steps (stay calm, acknowledge the shutdown, offer space or a pause, use “I” statements, set a specific time to revisit, and seek couples therapy if it persists) follow communication best practices.",1,0,1,0,0,1
21,"My partner says I get defensive during discussions. Am I being defensive, or am I just being honest?","Quick check: you’re likely defensive if you interrupt, deny or blame, counterattack, or dismiss their feelings; you’re likely honest if you calmly state facts, own your feelings, and invite feedback. Ask for examples, pause before replying, reflect back what they said, use “I” statements, and ask whether they want a fix or empathy.","I'm reasonably sure—interrupting, denying, blaming, or counterattacking usually signals defensiveness, while calmly stating facts, owning feelings, reflecting back, and inviting feedback indicate honesty; ask your partner for examples, pause before replying, use ""I"" statements, and check with them to confirm.",0,0,1,0,0,1
22,"I bring up small things with my partner, but they always turn into bigger issues. Should I start letting things go instead?","You don't have to always let things go—pick your battles: let truly trivial annoyances slide, but address issues tied to values, recurring patterns, or boundaries. Bring up one specific item at a calm time with ""I"" statements and a proposed solution. If small complaints routinely escalate, point out that pattern and suggest couples therapy or clearer rules for resolving conflicts.","Yes — I'm confident: let trivial annoyances go, but calmly address recurring patterns, boundary/value issues, or things harming your wellbeing; use ""I"" statements, pick one issue at a time, and consider couples therapy if escalation continues.",0,1,1,0,1,1
23,"I want to communicate better, but my partner says I should already know how. Am I at fault?","Not necessarily—communication is a learned skill, not something everyone instinctively “already knows.” Blame isn’t helpful; responsibility is shared. Say you want to improve, ask for concrete examples, request patience while you practice, set clear expectations and boundaries, and consider books, workshops, or couples counseling to build skills together. Taking those steps shows commitment and helps both partners.","Not absolutely—I'm confident communication is a learned skill and not simply innate. Blame isn't productive; responsibility is shared. Ask your partner for concrete examples, request patience while you practice, set clear expectations, and consider books, workshops, or couples counseling to build skills together.",1,1,0,0,0,1
24,"My partner and I have different ways of communicating. How can we meet in the middle, and what should I change?","Map each other's styles, agree a simple process (preferred channel, timing, and check-ins), and practice reflective listening. Change by using more ""I"" statements, asking clarifying questions before reacting, mirroring your partner's pace/channel, and offering brief regular check-ins; if stuck, suggest a neutral third party or couples therapy.","Yes—I’m confident: those are evidence-based communication strategies, but adapt them to your relationship, try small experiments, and consider a therapist if progress stalls.",0,0,1,0,1,1
25,I hold back my thoughts to keep the peace. Is this hurting our relationship?,"Occasional restraint to avoid needless conflict can be fine, but chronically withholding feelings tends to erode intimacy, build resentment, and reduce trust; try brief, calm “I” statements, pick a safe time to share needs, set small goals for honesty, and consider couples or individual counseling if you repeatedly avoid important topics or feel distant.","Yes—I’m confident: research shows chronic emotional suppression undermines intimacy, trust, and well‑being while respectful, honest communication usually improves relationships, so try small disclosures, set boundaries, or consult a therapist if you need tailored guidance.",0,1,1,0,1,1
26,My partner says I sound critical when I speak. How can I soften my tone?,"Try: 1) Use ""I"" statements (""I feel…"") instead of ""You"" accusations. 2) Slow down, breathe, lower volume slightly and soften consonants. 3) Add validation (""I hear you,"" ""That makes sense""). 4) Ask questions and pause to listen. 5) Practice by recording yourself and asking your partner for specific examples and signals to stop.","Yes—these evidence-based techniques (I‑statements, slower softer delivery, validation, questions, practice) typically reduce perceived criticism; adjust them based on your partner’s feedback and rehearsal to confirm they work for you.",1,1,1,0,1,1
27,"Why do I feel like my partner and I talk past each other during disagreements, and how can I be clearer?","You two ""talk past"" each other because you may have different goals (venting vs fixing), different emotional states, assumptions, vague language, or weak listening. To be clearer: state your goal, use brief I‑statements (I feel X when Y), name the emotion, describe specific behaviors and the outcome you want, ask the other’s goal, reflect back (“So you mean…”), and pause if emotions spike; practice one change at a time.","Yes—I'm confident. People often ""talk past"" each other because they have different goals (vent vs. fix), unspoken needs, vague language, or strong emotions. To be clearer: state your goal, use brief I‑statements naming feelings and specific behaviors, say the impact and request, ask their goal, and reflect back what you heard.",0,0,1,0,0,1
28,My partner and I seem to argue because we listen to find flaws in each other’s arguments. How can we fix this?,"Try these steps: notice the habit, agree together to stop hunting flaws, practice active listening—reflect back what you heard and ask clarifying questions, use I-statements for feelings/needs, set a rule (no rebuttal until speaker finishes), pause or take time-outs when defensive, assume positive intent, focus on solving needs not winning, schedule regular calm check-ins, and consider couples therapy if stuck.","Yes—I'm confident those steps help because they shift from critiquing to connecting: notice the habit, agree to pause rebuttals, practice reflective listening and I‑statements, assume positive intent, and pause if heated; if things don't improve, consider couples therapy.",0,1,1,0,1,1
29,"Why do the same conversations keep repeating when my partner and I argue, and how can we make progress?","Arguments repeat because underlying needs, triggers, communication patterns, or power roles stay unresolved and emotions push you into the same scripts. To make progress: identify recurring triggers, pause to de‑escalate, use ""I"" statements and reflective listening, agree on small concrete behavior changes and repair rules, track progress, and seek couples therapy if you’re stuck.","I’m reasonably sure—research and clinical experience show repeating arguments reflect unmet needs, triggers, and interaction patterns; try the steps I suggested and seek couples therapy if progress stalls.",1,0,1,0,1,1
30,My partner shuts down when I try to talk about serious things. How can I reach them without being shut down?,"Try: pick a calm moment and ask permission to talk; use brief “I” statements about your needs; state observations, not accusations; invite their perspective and offer breaks; validate their feelings and keep tone gentle and concise; use nonverbal closeness; and if shutdowns persist, suggest couples therapy or a neutral mediator.","Yes—I'm confident; those steps (ask permission, use brief ""I"" statements, state observations not accusations, validate, offer breaks, suggest therapy) are effective starting strategies, but tailor them to your partner and situation.",1,1,1,0,1,1
31,I feel dismissed when I share my feelings. Am I explaining them correctly?,"Yes — it's clear, but add specifics and a request: ""I feel dismissed when you respond with jokes or change the subject because it makes me feel unheard; could you listen and reflect back what you heard?"" Use: I feel [emotion] when [behavior], because [effect]; please [request].","Yes — I'm sure: that ""I feel [emotion] when [behavior], because [effect]; please [request]"" formula is clear, concise, and actionable, and adding a specific example of the behavior and a simple request will improve how your feelings are heard.",1,0,1,0,0,1
32,My partner and I get stuck arguing over small issues. How can I stop this from happening?,"Pause before reacting—take a 20–30 minute break. Use “I” statements, say feelings not blame. Ask “will this matter in a week?” and pick your battles. Practice active listening by reflecting what you hear. Agree on ground rules (no name‑calling, time limits) and table unresolved items or seek couples therapy if it keeps recurring.","Yes—these techniques (pausing, I‑statements, active listening, ground rules, picking battles, and therapy when needed) are supported by research and often help, though success requires both partners' commitment.",0,0,1,0,0,1
33,"Why can’t I seem to feel comfortable enough to open up to my partner about myself, and will I ever feel safe?","That discomfort is common—roots often include past hurt, attachment style, fear of rejection, low self‑worth, or a partner’s responses. You can build safety by starting small, naming fears, setting boundaries, noticing how your partner reacts, and seeking individual or couples therapy. Practice self‑compassion and give the relationship time; with consistent trustworthy responses and support you can learn to feel safe enough to open up.","I'm confident those are common reasons and practical steps, but individual experiences vary; consider therapy, start small, and watch for consistent trustworthy responses to know if you can feel safe.",1,1,1,0,1,1
34,Why do conversations about feelings between my partner and me often turn into arguments?,"Common reasons: strong emotions trigger defensiveness, blaming or vague language, different communication styles, past hurts, poor timing, and not feeling heard. Try calm timing, ""I"" statements, reflective listening, asking curious questions, validating feelings, pausing before responding, and consider couples therapy for persistent patterns.","Yes — I'm confident: these causes (defensiveness, blame, different styles, past hurt, poor timing) and remedies (I-statements, reflective listening, validation, pausing, therapy) are common, evidence-backed ways to reduce escalation.",1,1,1,0,1,1
35,Why do my partner and I find it difficult to be open and vulnerable with each other?,"Common reasons include fear of judgment or rejection, past hurt or insecure attachment, low trust, poor emotion-regulation or communication skills, mismatched expectations, power imbalances, and cultural/family norms that discourage openness. Start small, share feelings without blame, practice active listening, and consider couples therapy to rebuild safety and trust.","I'm reasonably sure—those causes are common: fear of judgment or rejection, past hurt/attachment wounds, low trust, poor emotion- or communication skills, mismatched expectations, or cultural/family norms; try small disclosures, active listening, repair attempts, and consider couples therapy.",0,1,1,0,1,1
36,Why do my partner and I disagree about how effective my communication is?,"You may disagree because you have different communication styles, expectations, emotional states, listening habits, nonverbal cues, or past experiences that shape interpretation; clarify intent, ask for concrete examples, use reflective listening and ""I"" statements, check understanding, and adapt timing and tone to bridge gaps.","Yes—those are common reasons and likely contribute, but every couple is different; use concrete examples, reflective listening, and consider therapy if needed.",0,0,1,0,1,1
37,Why do my partner and I have different expectations about how often we should check in with each other?,"Different expectations come from attachment styles, upbringing, personality (introvert/extravert), schedules/tech habits, and differing needs for closeness or independence. Talk about your needs, agree a frequency/form that works for both, and revisit the plan when feelings change.","I'm reasonably sure: research and clinical experience show attachment style, upbringing, personality, schedules, and tech habits shape check-in expectations, but individual differences mean you should talk about needs and negotiate a routine together.",0,0,1,0,0,1
38,Why do my partner and I struggle with timing when it comes to serious conversations?,"Often it's mismatch in emotional readiness, avoidance/fear of conflict, different conflict styles or schedules, poor emotional regulation, or unclear signals about urgency. Try agreeing on a short signal or scheduled check-in, start with brief check-ins, and seek couples therapy if patterns persist.","I can’t be certain—those are common causes based on typical patterns; to be sure I’d need specifics (when it happens, each person’s reactions and feelings); share a recent example and I’ll analyze.",0,1,1,0,0,1
39,"Why do my partner and I avoid clarifying misunderstandings even though it leads to frustration, and why does it feel off when we try?","Often people avoid clarifying because they fear conflict, vulnerability, hurting each other, or lack communication skills—so silence becomes a habit. When you try it feels off because it activates anxiety, unfamiliar role shifts, or memories of past blow‑ups. Start with low‑risk clarifying (""I feel X when Y""), pick a calm moment, and consider couples therapy if the pattern persists.","Yes — I'm reasonably sure: avoidance usually comes from fear of conflict, vulnerability, attachment patterns, and habit, and clarifying feels off because it triggers anxiety, unfamiliar roles, or past hurt, so try short, low‑risk ""I"" statements and consider therapy if it persists.",1,1,1,0,1,1
40,Why do my partner and I experience miscommunication around expectations and responsibilities when I bring it up?,"Because people hold different unstated assumptions, use different communication styles, and react defensively when blamed, raising expectations can trigger vagueness, power struggles, or shutdowns. To improve, choose a calm time, use specific examples and ""I"" statements, ask open questions, agree on clear responsibilities, and check understanding aloud.","Yes — I'm confident: such conflicts usually come from unspoken assumptions, differing communication styles, and defensive reactions, and they often improve when you choose a calm time, use specific examples and ""I"" statements, agree clear responsibilities, and check understanding.",0,0,1,0,1,1
41,Why do my partner and I find it hard to communicate appreciation for one another?,"Common reasons: different ""love languages,"" fear of vulnerability, insecurity or past hurts, mismatched expectations, poor timing or stress, unclear communication habits, or assuming appreciation is understood; try asking what gestures matter, naming specific behaviors you value, scheduling brief check‑ins, giving small daily recognition, and considering couples counseling if patterns persist.","Yes—these are common, research‑supported reasons (different love languages, fear of vulnerability, insecurity, stress, assumptions); try asking what feels appreciated, naming specific behaviors, offering daily brief recognition, and consider couples therapy.",0,1,1,0,1,1
42,Why do my partner and I tend to disrespect each other during disagreements?,"Often disrespect comes from emotional flooding—feeling attacked triggers defensiveness, old hurts, power struggles, or attempts to protect self-worth; poor communication habits and learned family patterns reinforce escalation. Stress, unmet needs, and lack of clear boundaries make contempt more likely. Try pausing when heated, using ""I"" statements, setting rules for arguments, and consider couples therapy.","I'm reasonably confident—those causes and strategies reflect common, research-backed patterns—but I can't be certain for your specific relationship without more context, so tell me a few recent examples or patterns and I’ll give more tailored explanations and steps.",1,1,1,0,0,1
43,Why do my partner and I rely on indirect communication instead of being direct and expecting one of us to catch the hint?,"Common reasons: fear of conflict or rejection, avoiding vulnerability, testing or controlling the partner, learned/cultural habits, unclear needs or attachment styles — indirectness feels safer but breeds misreading and resentment; try naming needs, agreeing on directness, using gentle ""I"" statements, and asking clarifying questions.","Yes — these reasons are well-supported by relationship research and clinical experience: fear of conflict or rejection, attachment styles and learned habits, testing or control, and unclear needs; they feel safer short-term but cause miscommunication long-term.",1,1,1,0,0,1
44,"Why do my partner and I find it hard to reset after miscommunication, and how can we prevent fights from extending into other issues?","You two struggle because miscommunication triggers strong emotions, unhelpful assumptions, and negative interaction cycles; to stop fights spreading, pause to calm, name needs and feelings, use ""I"" statements, clarify intent, stick to one topic, agree on a brief repair ritual (time‑out + reconnect), apologize when needed, and practice regular check‑ins to rebuild trust.","Yes—I'm confident those patterns and strategies are evidence‑based and commonly effective, but individual couples vary, so adapt them, monitor results, and seek a couples therapist if fights persist or feel unsafe.",1,0,1,0,0,1
45,Why are my partner and I unable to discuss minor disagreements without them turning into screaming matches?,"Small arguments explode when unresolved resentments, high emotional reactivity, insecurity, or learned escalation patterns (criticism, defensiveness, stonewalling) meet stress and poor repair attempts; try slowing down and taking breaks, use soft starts and “I” statements, validate feelings, set ground rules for fights, and consider couples therapy to learn de‑escalation skills and break the cycle.","Yes; based on common patterns in couples, unresolved resentments, high emotional reactivity, insecure attachment, and escalation cycles usually explain it, and strategies like soft starts, time‑outs, validation, repair attempts, and couples therapy are effective.",1,1,1,0,0,1
46,Why does every attempt I make to bring up a grievance result in my partner immediately turning the blame back on me?,"Common reasons: your partner may be defensive (protecting from shame), projecting, gaslighting, emotionally dysregulated, or seeking control; address it by calmly naming the pattern with I-statements, setting boundaries, pausing the conversation if it becomes blaming, and suggesting couples therapy if it continues.","I'm reasonably sure—those are common causes, though an individual assessment could reveal other factors; observe patterns, use I-statements, set boundaries, and seek therapy if it persists.",0,1,1,0,0,1
47,Why have we reached a point where we both use silence as a weapon for days after a minor argument?,"Because minor fights trigger unmet needs and survival responses—hurt, shame, fear, or a wish to control—and when people lack skills to express emotions they withdraw and use silence as punishment, creating a feedback loop of resentment; break it by naming feelings, apologizing for harm, agreeing on time-outs with a set return to talk, using “I” statements, and, if needed, couples therapy to rebuild trust and communication.","Yes—I'm confident: research and clinical experience show silence often becomes punishment rooted in unmet needs, fear, or poor communication, though specific causes vary by couple.",1,0,1,0,0,1
48,Why do I feel like I have to walk on eggshells because my partner interprets every honest thought I share as a personal attack?,"You feel that way because your partner likely has high emotional reactivity (insecurity, past hurt, or a defensive attachment style) and interprets feedback as criticism, which creates hypervigilance; try “I” statements, better timing, clear boundaries, asking for clarification, and propose couples or individual therapy while protecting your own emotional safety.","I can’t be certain without more context, but it’s likely your partner is emotionally reactive or defensive (insecurity, past hurt, attachment issues) so feedback feels like criticism; try “I” statements, boundaries, and therapy.",1,1,1,0,1,1
49,Why does my partner dismiss my emotional needs as being too sensitive or irrational whenever I try to voice them?,"They may dismiss you because they’re uncomfortable with strong emotions, defensive, minimizing to avoid responsibility, repeating learned invalidation, or trying to control the interaction; often it’s about their coping skills, not your feelings. Try clear I-statements, set boundaries, request changes, suggest couples therapy, and prioritize your emotional safety if invalidation continues.","I'm reasonably sure—these are common causes—but not certain without more context; consider I-statements, clear boundaries, and couples therapy if it continues.",1,1,1,0,1,1
50,Why have I stopped sharing my professional successes with my partner because they always make it about their own stress?,"You likely stopped sharing because your partner consistently redirects or minimizes your joy, making vulnerability feel unsafe or unrewarding; over time you learned to protect yourself by withholding. Name the pattern, ask for specific validation when you share, set boundaries, and consider couples therapy if it continues.","I'm reasonably sure—consistent redirection or minimization commonly teaches people to stop sharing to protect themselves, though only you know the full context and discussing it with your partner or a therapist can clarify.",1,1,1,1,1,1
51,Why does my partner rely on sarcasm to express dissatisfaction instead of telling me what is actually wrong?,"People use sarcasm to avoid vulnerability, dodge direct conflict, test reactions, or because they lack emotional language or learned passive‑aggressive habits. It often protects insecurity or expresses anger indirectly. Calmly name the pattern, ask for what they want, model directness, set a boundary, and suggest counseling if it continues.","Yes — I'm reasonably sure: sarcasm often shields vulnerability, avoids direct conflict, or reflects limited emotional skills; motives vary, so gently ask your partner, set boundaries, and suggest counseling if it persists.",0,0,1,0,0,1
52,Why does communication in our relationship mostly consist of vague hints that I’m expected to decode?,"Because one or both partners avoid directness—to dodge conflict, protect feelings, test reactions, preserve power, or from habit/culture—so communication stays indirect. Name the pattern calmly, ask for specific requests, model clear “I” statements, set rules for honest check‑ins, and consider couples counseling if it persists.","I'm fairly confident—indirectness often comes from avoiding conflict, testing reactions, protecting feelings, or learned habits—but I can't be certain without more context; try naming the pattern, ask for specifics, and consider couples counseling.",0,1,1,0,1,1
53,Why does my partner agree to changes in our routine during discussions but fail to follow through in reality?,"Common reasons include an intention–behavior gap: they may agree to avoid conflict, feel ambivalent, lack motivation or willpower, forget, be overwhelmed, or have executive‑function limits; try clarifying specifics, setting small actionable steps, using reminders, checking motivation, and nonjudgmental follow‑ups or couples therapy if needed.","Yes — I'm confident these are common, evidence-backed reasons and approaches, though every couple is different and an individualized assessment (for example, therapy) may be needed.",0,1,1,0,1,1
54,Why does my partner prefer to address our relationship problems through text messages instead of talking face-to-face?,"Common reasons: texting feels safer, gives time to edit, reduces immediate emotion, avoids confrontation, or fits schedules. This can help clarity but risks misunderstandings and emotional distance. Try asking why they prefer text, tell them you value in‑person talks for serious issues, and propose a compromise: use text to start but schedule a face‑to‑face follow‑up.","Yes—I’m confident: people text to feel safer, buy time to think/edit, avoid intense emotions or confrontation, or because of schedules or anxiety; ask them kindly why and propose starting by text but planning in-person talks for important issues.",0,1,1,0,0,1
55,Why did I discover that my partner discusses our private and intimate issues with friends before bringing them to me?,"Possible reasons: they seek support, advice or validation; they vent to manage stress; they fear conflict or vulnerability; they don’t see it as betrayal; or they’re testing reactions. To fix it, calmly share how it feels, ask why they turn to friends first, set clear confidentiality boundaries, and agree on how to handle sensitive issues going forward.","I can't be certain without more context, but those reasons are common—ask your partner calmly and curiously about why they do it, explain how it feels to you, and agree on boundaries for discussing private matters.",0,0,1,0,0,1
56,Why does my partner prefer to address our relationship problems through text messages instead of speaking to me directly?,"They may prefer texting because it lowers anxiety, gives time to think, feels safer or less intense, fits schedules, or comes from habit/trauma—and it creates a written record. Ask them nonjudgmentally why, share your needs, and agree on when to use texts versus in-person talks.","I'm fairly sure: people often text about relationship problems to lower anxiety, buy thinking time, avoid immediate conflict, fit schedules, or from habit—ask them nonjudgmentally why and state when you need in-person talks.",1,0,1,0,0,1
