"Honesty, Infidelity, and Jealousy",Communication Issues,Emotional Needs and Validation,Seeking Perspective,Commitment and Uncertainty
My partner is quick to make promises to me but never follows through. How should I feel?,My partner shuts down during serious talks. How should I respond when this happens?,Is it understandable to feel invalidated when my partner listens but does not understand me?,"My partner has been having quite a lot of mood swings lately, and I fear this is going to affect our relationship. Should I be scared or not?",Am I actually ready for a relationship if tend to avoid deep conversations about the future with my partner?
My partner wants to keep our relationship a secret but I just want us to be honest. How do I proceed?,"My partner says I get defensive during discussions. Am I being defensive, or am I just being honest?",Is it normal to fear that my partner will pull away if I set boundaries?,I feel angry whenever my partner talks loudly on the phone in public. Are my feelings are valid or not? ,Am I overreacting if I tend to interpret my normal doubts with my partner as red flags?
"My partner always cites privacy as a reason for keeping secrets, but I just want them to be more honest with me. Is this valid?","I bring up small things with my partner, but they always turn into bigger issues. Should I start letting things go instead?",Is it concerning that I feel like I have lost parts of myself in the relationship?,"My partner sounds very critical when they speak, and it makes me feel scared. Are my feeling valid or not?",Should I continue the relationship if I fear that fully committing to my partner will hinder my personal growth?
"I feel like my partner is too close with this other person for my liking, but they always claim  that the other person is just a friend. Is this an overreaction on my end?","I want to communicate better, but my partner says I should already know how. Am I at fault?",Is it reasonable to feel hurt when my concerns are labeled as overthinking?,"My partner told me I look good today, but I got angry at them for saying ""today"" because does that mean I don't look good on other days. Was my reaction valid or not?",What should I do if I feel uncertainty with my partner and if I think it's caused by unresolved personal identity issues?
"My partner chose to be physically intimate with another person instead of just talking about our problems and justified it on the basis of us being 'on a break.'  Was this wrong of them?
","My partner and I have different ways of communicating. How can we meet in the middle, and what should I change?",Is it unhealthy that I need frequent reassurance that my partner still loves me?,"Whenever my partner talks to me, I feel so drained. Is that my fault or my partner's fault? ",Is it the right thing to do if I tend to emotionally guard myself to avoid dependency in my relationship?
I feel like my partner's interactions on social media count as borderline cheating. Am I blowing the situation out of proportion?,I hold back my thoughts to keep the peace. Is this hurting our relationship?,Is it normal to feel insecure when my partner gives attention to others?,"My partner lied to me about dating their friend before, and I feel like I can't trust them anymore. Am I being overly dramatic or is this a valid feeling?",What should I do if I'm always in an on-and-off cycle in my relationship with my partner?
My partner said that they cheated because they felt like they weren't being loved sufficiently. Was what happened my fault?,My partner says I sound critical when I speak. How can I soften my tone?,Is it a problem that I feel like my worth depends on what I offer in the relationship?,I feel unsupported now because my partner doesn't give me money to spend when we go out. Is this a valid feeling or not?,I tend to use my busyness and work to avoid relationship progression with my partner. I don't know if that's selfish.
My partner still talks with the person they cheated with even after apologizing.  Should I ask them to avoid all contact?,"Why do I feel like my partner and I talk past each other during disagreements, and how can I be clearer?",Is it concerning to feel emotionally lonely despite being in a relationship?,My partner won't let me take care of them when they're sick because they said they can take care of themselves. Was I overstepping the boundaries or was I caring for them?,Is it wrong f I see myself having commitment anxiety in my relationship because of my failed relationships with others?
My partner only cheated once and apologized but I still feel like my trust in them was shattered. What should I do about this?,My partner and I seem to argue because we listen to find flaws in each other’s arguments. How can we fix this?,Is it reasonable to feel distressed that I am competing with my partner’s priorities?,I feel angry at my partner because they won't let me check their phone. Is my reaction valid or not?,Should I just stop if I feel obligated to stay in my relationship rather than actually wanting to?
My partner cheated while under the influence. Was it their fault?,"Why do the same conversations keep repeating when my partner and I argue, and how can we make progress?",Is it normal to be scared to bring up my needs because it might cause conflict?,I feel dismissed whenever I talk to my partner about our financial status. Is this a valid concern or not?,Should I just chill out if I tend to overanalyze me and my partners relationships compatibility rather than experiencing the relationship?
My partner cheated and said that I was distancing myself from them.  Does that count as a valid excuse?,My partner shuts down when I try to talk about serious things. How can I reach them without being shut down?,Is it unfair that I feel like I care more deeply about the relationship than my partner?,I want more spending money from my partner. Is this a genuine need or not?,Should I just stop if I fear of having the responsibility of being someone else's happiness in a relationship?
My partner had affairs with people on the internet but said the problem was minimal due to the relationships being online instead of in real life. Was what they were saying valid?,I feel dismissed when I share my feelings. Am I explaining them correctly?,Is it unhealthy that I constantly look for proof that my partner still chooses me?,"My partner told me that I look unique, and I feel hurt. Am I overreacting or is this a valid concern? ",What should I do if I have a difficulty imagining the future with my partner in our relationship?
My partner kept their affair partner secret from me for years and I only found out now. How should I feel?,My partner and I get stuck arguing over small issues. How can I stop this from happening?,Is it a sign of imbalance that I feel emotionally drained from always being available?,I feel a bit jealous when my partner talks to their colleague lately. Is my reaction valid or not? ,Is it too much if I tend to avoid vulnerability with my partner in our relationship to maintain control?
My partner doesn't want to admit they were cheating despite me having overwhelming evidence that they were. What do I do?,"Why can’t I seem to feel comfortable enough to open up to my partner about myself, and will I ever feel safe?",Is it reasonable to feel unsatisfied when my partner reassures me but not in the way I need?,"My partner is busier nowadays, and I feel neglected. Is this a valid concern or not?",Aren't we both at fault if feel uncertainty with my partner and I think it's caused by unequal emotional investment to each other?
"While my partner confessed about their affair, they left out multiple details to make their actions seem less wrong. Are they being dishonest or is that a valid approach?",Why do conversations about feelings between my partner and me often turn into arguments?,Is it normal to feel ashamed for wanting more attention and feeling clingy?,I feel hurt because my partner told me I've been gaining weight. Is this a valid feeling or not?,"Is it a normal thing to feel that everytime I enter a period of stress with my partner, I second guess our relationship?"
My partner cheated on me despite me going through a rough time in my life because of the death of one of my close loved ones. What do I do about this?,Why do my partner and I find it difficult to be open and vulnerable with each other?,Is it natural to feel unsettled when my partner has emotionally changed?,I feel dissapointed whenever my partner comes home late from work. Am I expecting too much or not?,Am I ready for a relationship if I often confuse anxiety with intuition when it comes to committing to my partner?
"My partner cheated on me as revenge after I confessed about my own affair. I know that what I did was wrong, but is that response justified?",Why do my partner and I disagree about how effective my communication is?,Is it understandable to feel insecure about my place in my partner’s life in a situationship?,"I want to be more financially independent, but my partner wants us to pay for all my expenses. Is this a sign of incompatibility or not?",What should I do if have a fear that committment to my relationship with my partner will lead to regret?
My partner had an affair with their coworker. Should I tell them to quit their job?,Why do my partner and I have different expectations about how often we should check in with each other?,Is it fair to feel used when affection only happens when it is convenient for my partner?,"My partner is always working late, and I feel like we barely see each other because our jobs are both very demanding. Is this a sign of incompatibility or not?","Am I selfish if I often keep emotional and romantic ""backup options"" to myself in my relationship with my partner?"
My partner cheated because they wanted to break up. Was that a valid method?,Why do my partner and I struggle with timing when it comes to serious conversations?,Is it normal to feel anxious when my partner seems emotionally independent?,"I want more emotional validation from my partner, but they're emotionally distant. Is this a genuine need or not?",What should I do if I avoid commitment with my partner in our relationship because I fear separation.
My partner says that I should be more forgiving despite the affair being relatively recent with barely any trust rebuilt. Should I be more forgiving?,"Why do my partner and I avoid clarifying misunderstandings even though it leads to frustration, and why does it feel off when we try?",Is it concerning to feel emotionally unfulfilled in my relationship without knowing why?,"When I came back home from a tiring day at work, my partner expects me to finish washing the dishes. I feel angry at them for saying that. Am I just moody or are they being insensitive?","Is it a valid concern that I long for certainty in my relationship with my partner even when ""certainty"" is impossible?"
My partner is monitoring my phone and my socials without my consent. Are they being too jealous or are their concerns valid?,Why do my partner and I experience miscommunication around expectations and responsibilities when I bring it up?,Is it a problem that I feel emotionally disconnected from my partner and cannot explain it?,"My partner wants to take our relationship to the next level since we have been together for 2 years, but I don't want to. Is this valid or not?",which part of me I should trust more if I feel emotionally ready but logically unsure to fully commit to my relationship with my partner?
My partner claimed I was cheating despite not presenting any evidence. How should I feel?,Why do my partner and I find it hard to communicate appreciation for one another?,Is it a problem that I feel emotionally disconnected from my partner and cannot explain it?,"I feel disrespected whenever my partner calls me ""stupid"" as a joke. Am I overreacting or is this a valid feeling?",Is my concern valid if I'm staying in my relationship with my partner only because of the time I've invested rather than actually wanting to?
"My partner is loyal now, but I still feel jealous because of their past infidelity. Should I try to stop feeling this way?",Why do my partner and I tend to disrespect each other during disagreements?,"
Is it unhealthy that I rely on my partner’s approval to feel confident?",I feel sad and angry whenever my partner replies to my messages often very late like 8 hours late. Am I overreacting or is this a valid feeling?,What should I do if I'm stuck between the fear of settling into my relationship with my partner and the fear of being alone?
My partner keeps comparing me to other people in terms of beauty and attractiveness. What do I say?,Why do my partner and I rely on indirect communication instead of being direct and expecting one of us to catch the hint?,Is it normal to fear being replaced or forgotten by my partner?,I recently fought with my partner because I feel disrespected whenever they dismiss my opinion. Is the fight I initiated valid or not?,Is my reason valid if I tend to avoid conflict with my partner in our relationship to prevent deeper attachment?
I feel jealous over my partner's friendships despite them being completely innocent. Are my feelings valid?,"Why do my partner and I find it hard to reset after miscommunication, and how can we prevent fights from extending into other issues?",Is it unfair that my needs always feel secondary in the relationship?,I feel a bit annoyed whenever my partner keeps asking me questions that seem like an invasion of my privacy. Is this valid or not?,What should I do if I have a difficulty in letting go with my past relationships while I'm currently in one?
"My partner says that they are ""concerned"" about me but uses that excuse to be overly controlling. How should I be feeling?",Why are my partner and I unable to discuss minor disagreements without them turning into screaming matches?,Is it unhealthy that I constantly check whether my partner still cares and feel drained by it?,"My partner likes to push me whenever we get into an argument, and I feel hurt. Is this a valid concern or not?",Am I being too insecure if I always feel like I need constant reassurance with my partner in our relationship to feel secure?
I feel like my partner overreacts when hearing about interactions I have with my friends. Are they being too jealous or not?,Why does every attempt I make to bring up a grievance result in my partner immediately turning the blame back on me?,Is it reasonable to feel hurt that my partner does not comfort me like they used to?,"I feel uncomfortable with physical touch, but my partner wants to be closer to me in that way. Should I let them do that more or should I set more boundaries?",What should I do if I feel uncertainty in my relationship with my partner because of our different life timelines?
I feel like my partner is being overly jealous because they feel like they don't deserve me. What do I have to tell them?,Why have we reached a point where we both use silence as a weapon for days after a minor argument?,Is it concerning that I feel overly attached and scared because of past hurt and anxious attachment?,"I want to save extra money for our future, but my partner spends on ""experiences"" because life is short. I feel like they're sabotaging our future. Is this a valid feeling or not?",Should I continue my relationship if I fear that committing to my partner means losing my individuality?
I feel like my partner wants to cheat on me with our other classmate. Are my feelings valid?,Why do I feel like I have to walk on eggshells because my partner interprets every honest thought I share as a personal attack?,Is it unhealthy that I rely on my partner to regulate my emotions?,I feel unheard whenever I vent to my partner and they offer me solutions only. Am I the bad guy in this senario or not?,"Am I being too insecure if in my relationship with my partner, I always wait for the perfect ""feeling"" but it never comes?"
I just want to be more independent but my partner thinks that I could be having an affair. What do I tell them?,Why does my partner dismiss my emotional needs as being too sensitive or irrational whenever I try to voice them?,Is it understandable to feel insecure when affection is not verbal even after communicating my love language?,"I feel like my partner is hiding something from me because they don't want to tell me their password to their phone for ""digital privacy"". Is this a valid concern or not?",What  should I do if I fear of committing fully in my relationship with my partner because of societal expectations?
My partner is using my tendency to be overly jealous to manipulate me. What should I do?,Why have I stopped sharing my professional successes with my partner because they always make it about their own stress?,Is it normal to feel guilty every time I get upset with my partner?,"My partner wants to make our finances separated, but I feel a joint account ensures a true commitment. Is this a valid reason or not?",What should I do if I fear of committing fully in my relationship with my partner because of my family?
I think my partner is feeling jealous but they're too scared to tell me. What do I tell them?,Why does my partner rely on sarcasm to express dissatisfaction instead of telling me what is actually wrong?,Is it reasonable to want spontaneous reassurance instead of always having to ask?,I feel disrespected by my partner because I'm a very organized person and they're very messy. I feel like they're disrespecting my time and our home. Is this a valid concern or not?,"Is it a good thing or a bad thing if in my relationship with my partner, I always stay undecided in most situations because I fear of making the wrong choice?"
My partner asked someone to try to get me to cheat to test my loyalty. Did they cross a line or was that a valid thing to do?,Why does communication in our relationship mostly consist of vague hints that I’m expected to decode?,Is it concerning that I feel emotionally unsafe sharing my fears in my relationship?,"I want to go to therapy with my partner, but they feel like ""we shouldn't tell other people about our business"" and that ""we aren't that bad"". Am I overthinking about our relationship or not? ",What should I be doing if I feel emotional withdrawal after moments of closeness with my partner in our relationship?
My partner is making efforts to ruin my friendships out of jealousy. How am I supposed to confront them?,Why does my partner agree to changes in our routine during discussions but fail to follow through in reality?,Is it a problem that my confidence has declined because my perspective feels invalidated?,"I feel like my partner is ""parenting"" me, instead of being an equal in our relationship. Is this a valid concern or are they just caring for me?",What should I do if I feel uncertainty in my relationship with my partner because of unresolved trauma?
I still feel jealous even after my partner constantly reassures me of their loyalty. Should I stop feeling this way?,Why does my partner prefer to address our relationship problems through text messages instead of talking face-to-face?,Is it understandable to feel confused and lost about where I stand in my partner’s heart?,"My partner wants to go on a vacation by themselves to ""recharge"", but I feel like they're finding a way to ""escape"" from me. Should I feel this way or not?",Am I being too selfish if I often avoid commitment discussions with my partner to prevent dissapointment in my relationship?
I discovered that my partner has a secret social media account that they didn't tell me about. What should I do about this?,Why did I discover that my partner discusses our private and intimate issues with friends before bringing them to me?,Is it reasonable to feel disconnected when emotional connection is no longer prioritized?,"I want to keep my last name in my marriage, but my partner thinks I'm not committed to them. Am I rude for not wanting that or not?",Should have a better sense of control if I swing back and forth between wanting closeness and wanting distance with my partner in our relationship?
My partner shared my private conversations with other people to ask for advice. Was this a breach of privacy or a valid course of action?,Why does my partner prefer to address our relationship problems through text messages instead of speaking to me directly?,Is it fair to feel like I am asking for the bare minimum despite going above and beyond?,"My partner wants to start a side business, but whenever I point out possible senarios in which they can fail, they get angry and think I'm unsupportive. Is their point true or am I being realistic? ",Am I too delusional or insecure if I often interpret calm stability with my partner as a lack of love in our relationship?
My partner's friends told different stories about where my partner was at a certain time and I think that they were covering for my partner's infidelity. Am I being too jealous or are my feelings valid?,"Why does my partner constantly check their phone during our designated quality time, making real conversation difficult?",Is it unhealthy that my moods depend on my partner’s moods?,"I want more adventures and experiences in my relationship, but my partner wants a stable routine. Should I follow my own desires or follow my partners for the sake of our relationship? ",Am I ready for a relationship if I fear that commitment to my partner in our relationship will expose my personal flaws?
"When my partner apologized for cheating, I felt like they weren't truly sorry and were just apologizing because they were caught. How can I convey this to them?",Why does my partner demand to see my private messages every night and believe total transparency is required for trust?,Is it concerning that I feel unlovable without my partner’s validation?,I feel annoyed whenever my partner brings up mistakes I did years ago whenever we argue about something new. Am I guilty or is my partner not letting go of the past?,What should I do if I feel uncertainty in my relationship with my partner because of incompatible long-term goals we set?
My partner says that they feel attraction for people other than me but that they are still loyal to me. How should I feel about this?,Why does my partner insist that my memory of our conversations is wrong and accuse me of making up reasons to be angry?,Is it reasonable to feel lost and not valued when my partner dismisses my needs?,"I feel like my partner is ""gaslighting"" me whenever they say that I'm being ""too sensitive"". Are they right or are they gaslighting me?",What should I do if I'm struggling to trust my own judgement in my relationship with my partner?
